City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,34,2,3,0.33,3,100,66,9
阿克苏地区,500,199,1405,0.9,12,87,53,3
阿拉善盟,61,22,39,0.5,7,141,111,11
阿勒泰地区,40,14,4,0.65,21,82,79,34
阿里地区,30,2,6,0.25,2,82,59,2
安康,44,7,14,0.85,9,91,86,13
安庆,49,34,46,0.65,22,89,84,8
鞍山,36,17,35,0.87,25,70,66,19
安顺,94,70,88,0.98,27,25,22,11
安阳,80,58,93,1.28,22,92,71,20
白城,46,12,19,0.1,7,95,91,9
百色,81,59,106,1.45,15,102,72,10
白山,42,13,11,0.55,6,97,83,5
白银,65,27,77,0.65,8,96,61,21
保定,53,29,53,0.52,22,83,53,16
宝鸡,39,27,28,0.82,30,39,28,3
保山,57,38,61,0.55,7,132,100,10
包头,92,68,131,1.07,37,92,67,29
巴彦淖尔,87,43,121,0.75,22,105,58,19
巴中,20,4,9,0.65,13,45,39,5
北海,54,30,55,0.6,9,60,53,8
北京,67,48,61,0.88,30,77,58,14
蚌埠,51,33,50,0.53,25,89,89,9
本溪,42,8,19,0.5,7,82,83,9
毕节,39,22,38,0.95,15,61,55,4
滨州,65,36,77,0.77,20,82,73,36
博州,31,17,30,0.45,14,52,44,25
亳州,78,57,91,0.9,33,70,72,20
沧州,51,33,50,0.5,18,85,77,28
长春,41,13,21,0.65,20,84,80,8
常德,32,12,16,0.72,14,69,62,4
昌都,47,11,46,0.9,11,95,84,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,60,34,68,0.97,25,82,62,12
长沙,15,8,7,0.57,24,38,29,5
常熟,47,17,39,0.7,16,102,93,23
长治,99,74,128,1.88,29,81,65,19
常州,50,27,49,0.92,46,55,53,14
朝阳,45,12,29,0.63,7,97,88,12
潮州,52,17,51,0.77,16,126,90,12
承德,71,31,90,0.94,19,102,81,15
成都,27,16,26,0.7,27,52,45,6
郴州,37,17,36,0.9,22,24,21,8
赤峰,60,29,67,0.78,23,66,59,27
池州,80,58,80,0.77,49,58,73,19
重庆,35,22,34,0.82,45,23,23,5
崇左,54,37,53,0.85,17,122,82,6
楚雄州,69,48,86,0.7,8,121,91,13
滁州,55,31,57,0.37,26,93,88,10
大连,42,22,41,0.77,21,95,83,14
大理州,76,43,44,0.9,12,129,130,4
丹东,44,9,17,0.5,7,90,86,6
大庆,41,18,24,0.55,18,93,81,17
大同,92,68,127,1.15,20,117,78,42
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,39,10,16,0.4,1,82,76,7
达州,29,12,20,0.55,20,69,56,11
德宏州,107,60,161,0.65,19,108,67,21
德阳,25,5,10,0.57,10,70,49,3
德州,58,21,64,0.9,13,92,73,11
定西,41,27,40,0.5,12,102,78,8
迪庆州,57,8,21,0.65,5,118,107,9
东莞,54,37,53,1.0,38,79,45,11
东营,56,16,59,0.83,16,84,84,12
鄂尔多斯,62,23,72,0.56,13,121,89,6
恩施州,30,16,16,0.8,13,57,58,4
鄂州,43,30,41,0.73,34,60,41,5
防城港,74,53,82,1.67,25,84,60,18
佛山,54,32,56,0.93,48,28,20,9
抚顺,46,8,17,0.4,8,96,90,9
阜新,43,5,20,0.26,5,87,84,24
阜阳,54,30,56,0.5,19,77,71,5
富阳,65,21,77,0.6,19,112,99,7
福州,36,12,35,0.53,19,72,62,5
抚州,47,30,46,0.7,18,51,50,12
甘南州,45,16,42,1.2,15,103,89,2
赣州,38,26,34,1.4,20,51,43,12
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,38,8,28,0.4,5,83,74,15
广安,32,14,31,0.58,17,49,44,7
广元,27,4,16,0.7,18,66,53,16
广州,64,45,61,0.97,52,29,21,9
贵港,81,59,91,1.0,16,81,59,8
桂林,28,16,25,0.8,14,52,54,6
贵阳,42,27,41,0.63,19,42,42,8
果洛州,80,8,25,0.6,13,92,134,22
固原,32,15,26,0.73,11,73,62,7
哈尔滨,46,21,38,0.57,24,97,91,21
海北州,56,18,30,0.3,14,129,105,0
海东地区,53,33,54,1.1,13,106,69,10
海口,31,10,30,0.44,7,29,24,3
海门,38,18,37,0.53,10,62,65,5
海南州,48,28,47,0.4,4,80,65,9
海西州,43,27,35,0.6,8,100,85,10
哈密地区,63,19,74,2.1,7,101,93,5
邯郸,81,59,101,1.02,23,103,72,18
杭州,43,19,42,0.64,23,103,82,7
汉中,35,14,26,0.88,21,63,68,4
鹤壁,80,45,107,0.8,30,86,61,18
河池,61,42,70,0.8,15,42,41,8
合肥,57,26,61,0.72,40,67,67,7
鹤岗,46,11,23,0.45,5,92,91,6
黑河,43,9,23,0.37,4,89,85,7
衡水,52,25,51,0.65,14,96,70,8
衡阳,35,24,23,0.86,21,37,27,15
和田地区,500,786,3086,0.7,12,58,42,19
河源,32,22,28,1.03,14,51,43,3
菏泽,86,56,120,1.33,47,71,45,20
贺州,37,21,36,0.85,13,46,41,7
红河州,84,36,79,0.57,9,161,139,8
淮安,45,17,44,0.4,13,98,81,7
淮北,64,45,63,0.7,37,71,66,14
怀化,24,7,23,0.74,10,46,46,2
淮南,53,30,53,0.45,22,80,80,12
黄冈,49,26,48,0.75,19,58,53,6
黄南州,67,48,75,1.3,14,99,87,14
黄山,47,29,46,0.5,12,57,55,7
黄石,43,25,42,1.05,43,45,48,6
呼和浩特,99,57,146,1.29,54,63,49,42
惠州,53,24,53,0.73,16,84,56,7
葫芦岛,44,23,36,0.88,12,96,86,46
呼伦贝尔,42,4,9,0.6,10,91,82,8
湖州,70,50,76,0.92,56,64,65,15
佳木斯,48,11,18,0.33,8,93,94,8
吉安,43,30,42,0.5,15,42,39,10
江门,46,25,45,0.6,30,54,29,8
江阴,59,29,66,1.17,34,78,70,14
胶南,58,29,63,0.8,17,92,77,11
胶州,57,27,62,0.55,33,96,95,21
焦作,92,52,131,0.8,29,77,54,14
嘉兴,49,19,43,0.6,21,111,97,6
嘉峪关,197,49,342,0.4,8,104,91,25
揭阳,55,25,57,0.83,22,130,88,11
吉林,47,16,24,0.73,13,104,93,11
即墨,57,32,62,0.8,21,92,85,11
济南,73,39,93,0.86,38,78,46,24
金昌,72,28,92,0.23,5,102,80,3
晋城,106,79,151,1.02,21,88,69,12
景德镇,27,15,26,0.6,18,42,50,6
荆门,95,65,138,0.98,29,51,59,7
荆州,52,33,51,0.9,21,64,58,7
金华,52,24,52,0.53,22,93,75,6
济宁,67,40,82,0.73,30,89,62,22
金坛,62,39,72,0.9,45,76,81,17
晋中,98,68,144,1.5,47,64,47,25
锦州,39,14,34,0.54,13,83,77,26
九江,39,27,32,0.65,21,63,55,8
酒泉,438,74,537,0.55,7,115,94,12
鸡西,40,14,15,0.23,8,80,79,3
句容,66,35,80,0.4,3,112,86,10
开封,119,89,115,1.15,43,48,39,16
喀什地区,500,517,2335,0.85,4,100,47,6
克拉玛依,36,17,35,0.68,11,78,71,5
克州,500,420,2230,1.0,13,102,79,3
库尔勒,500,196,923,0.73,8,96,59,6
昆明,61,34,62,0.67,12,133,112,8
昆山,52,13,36,0.45,17,105,101,4
来宾,82,46,111,0.9,22,65,57,9
莱芜,59,31,65,0.53,24,96,72,15
莱西,73,40,94,0.65,23,83,81,18
莱州,54,26,56,0.85,21,55,61,14
廊坊,70,33,87,0.68,30,74,67,18
兰州,65,41,77,0.96,36,86,62,14
拉萨,80,16,107,0.48,6,98,92,5
乐山,37,23,36,0.54,21,67,44,7
凉山州,61,25,48,1.02,11,128,112,9
连云港,36,12,27,0.58,14,82,71,10
聊城,115,86,124,1.27,43,86,40,34
辽阳,39,12,28,0.6,17,80,76,12
辽源,41,14,18,0.65,6,88,81,14
丽江,57,18,56,0.93,6,114,107,8
临安,60,31,67,0.4,28,89,76,8
临沧,77,48,102,0.8,8,127,84,10
临汾,70,46,87,1.45,19,85,56,27
临夏州,56,37,59,0.75,13,62,47,12
临沂,65,28,77,1.07,31,78,63,15
林芝,50,6,8,0.4,4,107,98,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,58,38,64,0.6,23,70,69,7
六盘水,119,89,137,0.94,19,84,71,13
柳州,61,42,69,0.92,18,57,56,7
溧阳,44,24,43,0.45,44,123,85,9
陇南,36,18,35,0.5,23,76,66,7
龙岩,29,19,28,0.83,20,31,31,6
娄底,20,12,19,0.95,13,47,39,4
六安,48,27,47,0.48,33,76,76,11
漯河,57,24,62,0.48,28,62,52,11
洛阳,97,72,137,1.29,53,27,26,10
泸州,68,47,83,0.43,29,50,29,13
吕梁,73,51,94,1.9,18,65,40,43
马鞍山,57,37,61,0.78,35,80,85,13
茂名,52,19,51,0.5,5,72,48,4
眉山,30,19,29,0.57,38,44,34,4
梅州,42,21,41,0.97,24,40,35,4
绵阳,27,4,9,0.48,8,73,52,4
牡丹江,45,20,31,0.32,8,95,89,5
南昌,37,15,36,0.84,25,47,52,6
南充,30,21,21,0.65,24,57,57,5
南京,60,33,67,0.52,39,75,74,9
南宁,96,71,109,1.31,38,107,60,10
南平,34,4,13,0.53,8,70,66,3
南通,48,16,32,0.7,11,102,95,9
南阳,57,27,62,0.88,25,77,61,10
那曲地区,34,14,30,0.67,5,73,66,3
内江,23,12,15,0.78,16,49,45,2
宁波,46,14,34,0.56,21,101,91,7
宁德,39,14,38,0.67,18,68,60,12
怒江州,55,38,55,1.1,16,90,43,10
盘锦,44,18,37,0.67,13,95,87,27
攀枝花,74,38,96,1.66,24,124,86,41
蓬莱,45,14,28,0.55,10,110,89,7
平顶山,75,54,92,0.6,28,84,47,20
平度,69,36,86,0.75,23,109,98,14
平凉,33,13,32,0.55,24,51,49,5
萍乡,46,28,45,0.82,16,42,41,5
普洱,63,40,70,0.6,9,166,114,7
莆田,42,11,26,0.46,13,89,82,4
濮阳,124,93,132,1.23,36,78,53,21
黔东南州,41,26,40,0.65,20,55,51,10
黔南州,32,22,31,0.8,18,43,40,17
黔西南州,53,27,53,0.65,7,98,74,7
青岛,63,31,74,0.81,23,93,77,12
庆阳,26,17,20,0.87,17,52,50,9
清远,76,55,44,1.35,27,55,38,10
秦皇岛,52,15,52,0.52,11,93,86,12
钦州,91,67,94,1.4,20,73,58,18
齐齐哈尔,40,14,25,0.72,10,85,78,16
七台河,56,15,59,0.5,12,92,85,13
泉州,43,15,36,0.5,18,96,84,9
曲靖,68,37,57,0.4,5,150,120,15
衢州,53,27,54,0.63,21,81,65,7
日喀则,48,2,16,0.55,1,101,95,9
日喀则地区,29,6,27,0.35,2,68,56,5
日照,46,19,40,0.6,11,112,90,8
荣成,44,11,25,0.5,6,96,87,8
乳山,55,17,57,0.65,14,101,85,10
三门峡,122,92,110,1.02,38,49,50,7
三明,26,13,18,0.6,13,56,50,10
三沙,30,7,20,0.3,30,51,58,6
三亚,16,8,13,0.4,5,29,30,2
上海,50,16,37,0.4,24,101,99,9
商洛,31,17,23,0.65,17,89,61,43
商丘,68,48,84,1.23,35,68,53,13
上饶,57,29,61,1.05,12,47,45,13
山南,56,9,19,0.7,9,112,105,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,59,13,65,0.65,16,126,95,9
汕尾,76,13,100,0.6,11,126,98,8
韶关,38,17,37,1.0,19,90,75,9
绍兴,69,21,85,0.74,13,99,84,5
邵阳,23,12,22,0.93,22,32,35,7
沈阳,40,13,25,0.48,14,88,79,12
深圳,40,18,29,0.46,13,99,78,5
石河子,119,89,109,1.0,21,84,46,16
石家庄,87,64,95,1.0,27,78,45,17
十堰,33,16,23,0.93,29,64,65,11
石嘴山,58,40,58,0.63,20,124,79,30
寿光,61,32,69,1.15,19,80,76,20
双鸭山,46,16,19,0.38,8,96,91,6
朔州,116,87,172,1.28,50,97,72,37
四平,44,14,24,0.3,5,96,87,7
松原,43,12,26,0.5,7,90,84,3
绥化,55,35,49,0.4,11,111,104,8
遂宁,16,5,11,0.63,15,40,30,5
随州,31,15,30,0.73,11,77,60,5
宿迁,56,39,50,0.7,23,89,73,10
苏州,46,16,45,0.66,31,84,80,5
宿州,63,44,70,0.77,48,78,65,11
塔城地区,46,5,13,1.0,23,92,90,4
泰安,78,53,104,1.53,41,72,60,37
太仓,49,14,40,0.35,15,107,96,7
太原,96,71,135,0.9,29,80,42,20
台州,44,13,27,0.27,10,101,87,3
泰州,49,19,42,0.45,12,96,96,6
唐山,69,33,86,0.68,17,94,71,18
天津,55,24,58,0.89,30,72,64,16
天水,27,13,25,0.6,19,70,53,12
铁岭,39,11,24,0.33,8,84,77,15
铜川,38,26,0,1.23,17,65,62,16
通化,43,2,13,0.3,10,103,85,3
通辽,43,8,13,0.43,13,83,84,18
铜陵,72,52,69,0.88,40,63,69,16
铜仁地区,28,16,27,0.85,8,54,52,8
吐鲁番地区,73,26,94,0.75,21,58,43,8
瓦房店,49,27,48,0.5,17,93,83,14
潍坊,71,36,90,0.74,20,80,85,15
威海,48,16,32,0.4,4,110,94,6
渭南,54,37,54,0.8,11,52,33,4
文登,43,19,26,0.4,16,103,85,4
文山州,75,48,98,0.75,15,148,114,7
温州,40,8,19,0.45,20,93,78,7
乌海,67,40,81,1.55,23,115,79,60
武汉,33,23,27,0.66,34,44,32,4
芜湖,55,36,58,0.63,32,86,85,7
吴江,46,18,45,0.73,37,86,84,7
五家渠,22,14,21,0.9,2,43,31,4
乌兰察布,87,36,121,0.5,17,105,64,32
乌鲁木齐,51,33,50,1.13,27,78,51,14
武威,59,20,65,0.35,8,116,85,3
无锡,48,18,47,0.75,26,95,86,8
吴忠,38,22,37,0.75,10,89,63,6
梧州,61,40,70,1.2,18,56,45,6
厦门,41,15,40,0.48,23,86,74,6
西安,50,35,48,1.07,32,48,56,7
湘潭,20,10,16,0.59,24,49,39,7
湘西州,30,18,29,0.43,11,48,52,3
襄阳,71,51,65,0.77,28,55,39,12
咸宁,39,27,30,1.4,20,61,63,1
咸阳,40,28,37,1.23,20,53,54,10
孝感,51,32,50,0.55,19,49,47,8
锡林郭勒盟,43,8,24,2.2,3,88,84,24
兴安盟,43,6,9,0.43,11,87,85,9
邢台,78,57,91,0.97,31,81,59,21
西宁,80,58,92,1.55,22,100,68,11
新乡,86,42,119,1.0,29,83,59,11
信阳,41,24,40,0.53,11,87,79,7
新余,52,26,51,0.54,24,57,54,15
忻州,127,96,165,1.6,35,61,34,45
西双版纳州,74,48,95,0.65,15,169,98,9
宣城,53,30,54,0.57,35,80,77,14
许昌,87,64,97,1.0,32,56,44,12
徐州,70,50,76,0.48,30,81,60,11
雅安,52,33,52,0.6,20,54,50,13
延安,30,17,29,1.55,31,57,50,14
延边州,50,11,23,0.4,8,106,98,14
盐城,53,22,54,0.7,10,100,92,7
阳江,38,26,31,0.77,3,91,57,5
阳泉,157,119,187,1.57,51,57,44,20
扬州,60,18,67,0.85,17,85,85,7
烟台,39,16,32,0.42,11,100,77,8
宜宾,85,62,91,0.98,34,50,36,15
宜昌,32,22,29,0.88,26,60,49,8
宜春,49,31,48,0.64,18,52,48,9
伊春,43,14,22,0.37,2,90,85,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,31,18,27,0.83,11,97,59,9
银川,52,26,52,0.78,20,114,86,42
营口,42,23,41,0.43,18,94,81,9
鹰潭,57,32,62,0.5,32,75,61,42
义乌,42,21,39,0.45,26,92,82,5
宜兴,52,23,51,0.9,26,93,89,12
益阳,27,10,26,1.02,24,44,42,3
永州,28,16,27,0.78,24,37,39,6
岳阳,43,30,34,0.7,16,63,50,6
玉林,82,60,81,1.43,18,54,38,10
榆林,55,28,58,1.15,19,79,70,8
运城,62,35,71,0.78,17,82,72,8
云浮,70,49,87,1.2,38,30,28,12
玉树州,47,9,17,0.5,2,99,93,3
玉溪,65,38,78,0.63,10,144,101,8
枣庄,67,33,82,0.78,25,86,76,15
张家港,49,11,38,0.35,16,100,96,3
张家界,34,9,23,0.7,13,73,66,6
张家口,170,63,287,1.4,33,92,77,17
章丘,68,33,83,0.9,29,85,67,18
张掖,95,26,137,0.35,2,109,84,9
漳州,44,19,43,0.57,35,90,72,6
湛江,45,31,33,0.55,10,62,49,4
肇庆,59,31,66,1.38,39,35,35,15
昭通,74,16,95,0.75,23,82,63,9
招远,59,19,65,0.75,39,56,54,10
郑州,98,73,110,1.1,48,48,45,15
镇江,54,25,56,0.4,19,92,82,9
中山,31,16,30,0.5,28,71,40,10
中卫,55,32,58,0.43,11,139,88,15
周口,65,39,78,0.93,28,66,72,13
舟山,49,14,28,0.57,10,99,96,6
珠海,37,20,36,0.57,37,76,63,5
诸暨,47,15,29,0.5,11,107,92,5
驻马店,58,36,63,0.73,24,75,59,15
株洲,39,11,38,0.34,18,53,45,6
淄博,60,31,68,1.13,23,96,76,22
自贡,67,48,70,0.95,19,48,49,11
资阳,30,16,29,0.62,16,47,39,4
遵义,29,14,26,0.6,22,50,56,12
