position_name,time_point,station_code,pm2_5,quality,primary_pollutant,area,pm2_5_24h,aqi
十五厂,2017-07-29T14:00:00Z,1142A,14,优,,上海,14,20
虹口,2017-07-29T14:00:00Z,1143A,32,优,,上海,7,46
徐汇上师大,2017-07-29T14:00:00Z,1144A,19,优,,上海,16,30
杨浦四漂,2017-07-29T14:00:00Z,1145A,15,优,,上海,18,42
青浦淀山湖,2017-07-29T14:00:00Z,1146A,20,优,,上海,19,36
静安监测站,2017-07-29T14:00:00Z,1147A,20,优,,上海,17,29
浦东川沙,2017-07-29T14:00:00Z,1148A,17,良,颗粒物(PM10),上海,16,51
浦东新区监测站,2017-07-29T14:00:00Z,1149A,20,优,,上海,11,29
浦东张江,2017-07-29T14:00:00Z,1150A,24,优,,上海,20,35
普陀,2017-07-29T14:00:00Z,1141A,17,优,,上海,14,36
,2017-07-29T14:00:00Z,,19,优,,上海,15,34
